date,sp500,birkin,balenciaga,paddington,cpi
2011-05-01,1345.199951171875,8423.561643835616,1041.5068493150684,426.79452054794524,224.32246575342467
2011-06-01,1320.6400146484375,8500.0,1050.0,420.0,224.9
2011-07-01,1292.280029296875,8606.557377049181,1062.295081967213,416.72131147540983,225.28524590163934
2011-08-01,1218.8900146484375,8716.666666666666,1075.0,413.3333333333333,225.68333333333334
2011-09-01,1131.4200439453125,8826.775956284153,1087.704918032787,409.94535519125685,226.08142076502733
2011-10-01,1253.300048828125,8933.333333333334,1100.0,406.6666666666667,226.46666666666667
2011-11-01,1246.9599609375,9043.442622950819,1112.704918032787,403.27868852459017,226.86475409836066
2011-12-01,1257.5999755859375,9150.0,1125.0,400.0,227.25
2012-01-01,1312.4100341796875,9260.109289617487,1137.704918032787,396.6120218579235,227.648087431694
2012-02-01,1365.6800537109375,9370.218579234972,1150.4098360655737,393.224043715847,228.046174863388
2012-03-01,1408.469970703125,9473.224043715847,1162.295081967213,390.05464480874315,228.41857923497267
2012-04-01,1397.9100341796875,9583.333333333334,1175.0,386.6666666666667,228.81666666666666
2012-05-01,1310.3299560546875,9689.890710382513,1187.295081967213,383.3879781420765,229.201912568306
2012-06-01,1362.1600341796875,9800.0,1200.0,380.0,229.6
2012-07-01,1379.3199462890625,9915.068493150686,1195.890410958904,377.5342465753425,229.8794520547945
2012-08-01,1406.5799560546875,10033.972602739726,1191.6438356164383,374.986301369863,230.16821917808218
2012-09-01,1440.6700439453125,10152.876712328767,1187.3972602739725,372.43835616438355,230.45698630136985
2012-10-01,1412.1600341796875,10267.945205479453,1183.2876712328766,369.972602739726,230.73643835616437
2012-11-01,1416.1800537109375,10386.849315068494,1179.041095890411,367.4246575342466,231.02520547945204
2012-12-01,1426.18994140625,10501.917808219177,1174.9315068493152,364.95890410958907,231.30465753424656
2013-01-01,1498.1099853515625,10620.82191780822,1170.6849315068494,362.4109589041096,231.59342465753426
2013-02-01,1514.6800537109375,10739.72602739726,1166.4383561643835,359.86301369863014,231.88219178082193
2013-03-01,1569.18994140625,10847.123287671233,1162.6027397260275,357.56164383561645,232.14301369863014
2013-04-01,1597.5699462890625,10966.027397260274,1158.3561643835617,355.013698630137,232.4317808219178
2013-05-01,1630.739990234375,11081.09589041096,1154.2465753424658,352.54794520547944,232.71123287671233
2013-06-01,1606.280029296875,11200.0,1150.0,350.0,233.0
2013-07-01,1685.72998046875,11265.753424657534,1137.6712328767123,345.8904109589041,233.3041095890411
2013-08-01,1632.969970703125,11333.698630136987,1124.9315068493152,341.64383561643837,233.61835616438356
2013-09-01,1681.550048828125,11401.643835616438,1112.1917808219177,337.3972602739726,233.93260273972604
2013-10-01,1756.5400390625,11467.397260273972,1099.86301369863,333.28767123287673,234.2367123287671
2013-11-01,1805.81005859375,11535.342465753425,1087.123287671233,329.04109589041093,234.5509589041096
2013-12-01,1848.3599853515625,11601.09589041096,1074.7945205479452,324.93150684931504,234.85506849315067
2014-01-01,1782.5899658203125,11669.04109589041,1062.054794520548,320.6849315068493,235.16931506849315
2014-02-01,1859.449951171875,11736.986301369863,1049.3150684931506,316.43835616438355,235.4835616438356
2014-03-01,1872.3399658203125,11798.356164383562,1037.8082191780823,312.6027397260274,235.76739726027395
2014-04-01,1883.949951171875,11866.301369863013,1025.0684931506848,308.35616438356163,236.08164383561643
2014-05-01,1923.5699462890625,11932.054794520547,1012.7397260273973,304.24657534246575,236.38575342465754
2014-06-01,1960.22998046875,12000.0,1000.0,300.0,236.7
2014-07-01,1930.6700439453125,12016.438356164384,983.5616438356165,295.8904109589041,236.72465753424657
